VIN,TrainID,Cabin,Seat,Transit
BBA00000000000001,TR0,T0,A1,None
BBA00000000000005,TR0,T0,A2,None
BBA00000000000007,TR0,T0,A3,None
BBA00000000000008,TR0,T0,A4,None
BBA00000000000009,TR0,T0,A5,None
BBA00000000000011,TR0,T0,B1,None
BBA00000000000012,TR0,T0,B2,None
BBA00000000000014,TR0,T0,B3,None
BBA00000000000015,TR0,T0,B4,None
BBA00000000000004,TR0,T0,B5,None
BBA00000000000017,TR0,T1,A1,None
BBA00000000000019,TR0,T1,A2,None
BBA00000000000020,TR0,T1,A3,None
BBA00000000000021,TR0,T1,A4,None
BBA00000000000023,TR0,T1,A5,None
BBA00000000000025,TR0,T1,B1,None
BBA00000000000024,TR0,T1,B2,None
BBA00000000000026,TR0,T1,B3,None
BBA00000000000028,TR0,T1,B4,None
BBA00000000000016,TR0,T1,B5,None
BBA00000000000030,TR0,T2,A1,None
BBA00000000000033,TR0,T2,A2,None
BBA00000000000040,TR0,T2,A3,None
BBA00000000000042,TR0,T2,A4,None
BBA00000000000046,TR0,T2,A5,None
BBA00000000000053,TR0,T2,B1,None
BBA00000000000047,TR0,T2,B2,None
BBA00000000000050,TR0,T2,B3,None
BBA00000000000051,TR0,T2,B4,None
BBA00000000000029,TR0,T2,B5,None
BBA00000000000066,TR0,T3,A1,None
BBA00000000000069,TR0,T3,A2,None
BBA00000000000070,TR0,T3,A3,None
BBA00000000000074,TR0,T3,A4,None
BBA00000000000075,TR0,T3,A5,None
BBA00000000000076,TR0,T3,B1,None
BBA00000000000077,TR0,T3,B2,None
BBA00000000000080,TR0,T3,B3,None
BBA00000000000082,TR0,T3,B4,None
BBA00000000000063,TR0,T3,B5,None
BBA00000000000086,TR0,T4,A1,None
BBA00000000000087,TR0,T4,A2,None
BBA00000000000089,TR0,T4,A3,None
BBA00000000000091,TR0,T4,A4,None
BBA00000000000092,TR0,T4,A5,None
BBA00000000000093,TR0,T4,B1,None
BBA00000000000094,TR0,T4,B2,None
BBA00000000000096,TR0,T4,B3,None
BBA00000000000097,TR0,T4,B4,None
BBA00000000000083,TR0,T4,B5,None
BBA00000000000105,TR0,T5,A1,None
BBA00000000000106,TR0,T5,A2,None
BBA00000000000107,TR0,T5,A3,None
BBA00000000000108,TR0,T5,A4,None
BBA00000000000109,TR0,T5,A5,None
BBA00000000000115,TR0,T5,B1,None
BBA00000000000110,TR0,T5,B2,None
BBA00000000000114,TR0,T5,B3,None
BBA00000000000117,TR0,T5,B4,None
BBA00000000000099,TR0,T5,B5,None
BBA00000000000118,TR0,T6,A1,None
BBA00000000000123,TR0,T6,A2,None
BBA00000000000125,TR0,T6,A3,None
BBA00000000000130,TR0,T6,A4,None
BBA00000000000131,TR0,T6,A5,None
BBA00000000000134,TR0,T6,B1,None
BBA00000000000132,TR0,T6,B2,None
BBA00000000000135,TR0,T6,B3,None
BBA00000000000137,TR0,T6,B4,None
BBA00000000000126,TR0,T6,B5,None
BBA00000000000139,TR0,T7,A1,None
BBA00000000000140,TR0,T7,A2,None
BBA00000000000323,TR0,T7,A3,None
BBA00000000000325,TR0,T7,A4,None
BBA00000000000327,TR0,T7,A5,None
BBA00000000000328,TR0,T7,B1,None
BBA00000000000329,TR0,T7,B2,None
BBA00000000000331,TR0,T7,B3,None
BBA00000000000332,TR0,T7,B4,None
BBA00000000000138,TR0,T7,B5,None
BBA00000000000338,TR0,T8,A1,None
BBA00000000000343,TR0,T8,A2,None
BBA00000000000344,TR0,T8,A3,None
BBA00000000000346,TR0,T8,A4,None
BBA00000000000349,TR0,T8,A5,None
BBA00000000000355,TR0,T8,B1,None
BBA00000000000356,TR0,T8,B2,None
BBA00000000000359,TR0,T8,B3,None
BBA00000000000360,TR0,T8,B4,None
BBA00000000000337,TR0,T8,B5,None
BBA00000000000365,TR0,T9,A1,None
BBA00000000000368,TR0,T9,A2,None
BBA00000000000370,TR0,T9,A3,None
BBA00000000000371,TR0,T9,A4,None
BBA00000000000375,TR0,T9,A5,None
BBA00000000000376,TR0,T9,B1,None
BBA00000000000381,TR0,T9,B2,None
BBA00000000000389,TR0,T9,B3,None
BBA00000000000405,TR0,T9,B4,None
BBA00000000000366,TR0,T9,B5,None
BBA00000000000409,TR0,T10,A1,None
BBA00000000000410,TR0,T10,A2,None
BBA00000000000412,TR0,T10,A3,None
BBA00000000000414,TR0,T10,A4,None
BBA00000000000418,TR0,T10,A5,None
BBA00000000000421,TR0,T10,B1,None
BBA00000000000420,TR0,T10,B2,None
BBA00000000000425,TR0,T10,B3,None
BBA00000000000427,TR0,T10,B4,None
BBA00000000000407,TR0,T10,B5,None
BBA00000000000429,TR0,T11,A1,None
BBA00000000000434,TR0,T11,A2,None
BBA00000000000435,TR0,T11,A3,None
BBA00000000000436,TR0,T11,A4,None
BBA00000000000438,TR0,T11,A5,None
BBA00000000000440,TR0,T11,B1,None
BBA00000000000442,TR0,T11,B2,None
BBA00000000000444,TR0,T11,B3,None
BBA00000000000447,TR0,T11,B4,None
BBA00000000000433,TR0,T11,B5,None
BBA00000000000448,TR0,T12,A1,None
BBA00000000000450,TR0,T12,A2,None
BBA00000000000557,TR0,T12,A3,None
BBA00000000000558,TR0,T12,A4,None
BBA00000000000559,TR0,T12,A5,None
BBA00000000000560,TR0,T12,B1,None
BBA00000000000561,TR0,T12,B2,None
BBA00000000000562,TR0,T12,B3,None
BBA00000000000563,TR0,T12,B4,None
BBA00000000000449,TR0,T12,B5,None
BBA00000000000568,TR0,T13,A1,None
BBA00000000000578,TR0,T13,A2,None
BBA00000000000579,TR0,T13,A3,None
BBA00000000000589,TR0,T13,A4,None
